Fibanachi	eps=	0,1	Func index=	0	
a	b	x1	x2	f1	f2	function_calls	b - a	
2,7061226158079643	2,707186901777245	2,7064773854505946	2,7068321397874846	-7,2743579700639645	-7,274357581902389	20	0,0010642859692806539	
2,7061226158079643	2,7068321397874846	2,7064773777977242	2,7064773854505946	-7,2743579700639645	-7,2743579700639645	20	0,0007095239795202879	
Fibanachi	eps=	0,0010000000000000002	Func index=	3	
a	b	x1	x2	f1	f2	function_calls	b - a	
0	1	0,38196594427244573	0,6180340557275541	5,474420135821385	7,8385835709319105	2	1	
0	0,6180340557275541	0,23606796168850455	0,38196594427244573	5,148684935442187	5,474420135821385	3	0,6180340557275541	
0	0,38196594427244573	0,14589807514476635	0,23606796168850455	5,28373505028774	5,148684935442187	4	0,38196594427244573	
0,14589807514476635	0,38196594427244573	0,23606796168850455	0,29179615028953276	5,148684935442187	5,189260578448943	5	0,23606786912767938	
0,14589807514476635	0,29179615028953276	0,20162635630661974	0,23606796168850455	5,171746915793583	5,148684935442187	6	0,1458980751447664	
0,20162635630661974	0,29179615028953276	0,23606796168850455	0,25735463746847315	5,148684935442187	5,15260006667765	7	0,09016979398291303	
0,20162635630661974	0,25735463746847315	0,22291312464741353	0,23606796168850455	5,15325038084671	5,148684935442187	8	0,05572828116185341	
0,22291312464741353	0,25735463746847315	0,23606796168850455	0,24419989298820732	5,148684935442187	5,1485197308093404	9	0,03444151282105962	
0,23606796168850455	0,25735463746847315	0,24419989298820732	0,24922264896826044	5,1485197308093404	5,149440650236585	10	0,021286675779968595	
0,23606796168850455	0,24922264896826044	0,2410906604680477	0,24419989298820732	5,148341775670673	5,1485197308093404	11	0,013154687279755883	
0,23606796168850455	0,24419989298820732	0,2391772295383909	0,2410906604680477	5,148380800154795	5,148341775670673	12	0,008131931299702772	
0,2391772295383909	0,24419989298820732	0,2410906604680477	0,24228649738827726	5,148341775670673	5,148374817217056	13	0,005022663449816417	
0,2391772295383909	0,24228649738827726	0,2403731017883472	0,2410906604680477	5,148343164474394	5,148341775670673	14	0,0031092678498863546	
0,2403731017883472	0,24228649738827726	0,2410906604680477	0,2415689740383035	5,148341775670673	5,148349686412081	15	0,0019133955999300623	
0,2403731017883472	0,2415689740383035	0,24085145068832972	0,2410906604680477	5,148340471383117	5,148341775670673	16	0,0011958722499562924	
0,2403731017883472	0,2410906604680477	0,24061228801491402	0,24085145068832972	5,148340471383117	5,148340471383117	16	0,0007175586797004974	
Fibanachi	eps=	0,0010000000000000002	Func index=	4	
a	b	x1	x2	f1	f2	function_calls	b - a	
0,5	2,5	1,2639320736665869	1,7360679263334131	1,1588580633110848	0,5943400784664565	2	2,0	
1,2639320736665869	2,5	1,7360679263334131	2,027864032921679	0,5943400784664565	0,48772639902477605	3	1,2360679263334131	
1,7360679263334131	2,5	2,027864032921679	2,2082039641219344	0,48772639902477605	0,5131660421321231	4	0,7639320736665869	
1,7360679263334131	2,2082039641219344	1,9164079282438689	2,027864032921679	0,5068161139557616	0,48772639902477605	5	0,4721360377885213	
1,9164079282438689	2,2082039641219344	2,027864032921679	2,096747930154325	0,48772639902477605	0,4892411033730502	6	0,2917960358780656	
1,9164079282438689	2,096747930154325	1,9852918961867152	2,027864032921679	0,4918713513402895	0,48772639902477605	7	0,18034000191045596	
1,9852918961867152	2,096747930154325	2,027864032921679	2,0541758641295615	0,48772639902477605	0,48710635976961525	8	0,11145603396760961	
2,027864032921679	2,096747930154325	2,0541758641295615	2,0704360552457177	0,48710635976961525	0,48746411416895497	9	0,06888389723264599	
2,027864032921679	2,0704360552457177	2,04412418033711	2,0541758641295615	0,4871682390859374	0,48710635976961525	10	0,042572022324038894	
2,04412418033711	2,0704360552457177	2,0541758641295615	2,060384327752542	0,48710635976961525	0,4871761847223015	11	0,026311874908607535	
2,04412418033711	2,060384327752542	2,050332600259366	2,0541758641295615	0,4871044791727073	0,48710635976961525	12	0,016260147415431803	
2,04412418033711	2,0541758641295615	2,04796747119893	2,050332600259366	0,4871190384633587	0,4871044791727073	13	0,01005168379245136	
2,04796747119893	2,0541758641295615	2,050332600259366	2,0518107620607493	0,4871044791727073	0,4871014606875199	14	0,006208392930631579	
2,050332600259366	2,0541758641295615	2,0518107620607493	2,052697685717948	0,4871014606875199	0,4871018946991856	15	0,0038432638701957345	
2,050332600259366	2,052697685717948	2,051219507306334	2,0518107620607493	0,4871021067894038	0,4871014606875199	16	0,0023650854585821612	
2,051219507306334	2,052697685717948	2,0518107620607493	2,0521064143533025	0,4871014606875199	0,48710141826360764	17	0,0014781784116140173	
2,0518107620607493	2,052697685717948	2,0521064143533025	2,0524020444988818	0,48710141826360764	0,48710141826360764	17	0,0008869236571986683	
Fibanachi	eps=	0,00010000000000000002	Func index=	0	
a	b	x1	x2	f1	f2	function_calls	b - a	
-0,5	0,5	-0,11803399017559707	0,11803399017559713	1,4099446162879672	0,8981126962036325	2	1,0	
-0,11803399017559707	0,5	0,11803399017559713	0,26393202283677303	0,8981126962036325	1,0307772135746185	3	0,6180339901755971	
-0,11803399017559707	0,26393202283677303	0,027864045673545945	0,11803399017559713	0,9525550859170494	0,8981126962036325	4	0,3819660130123701	
0,027864045673545945	0,26393202283677303	0,11803399017559713	0,17376208152268896	0,8981126962036325	0,9244988769685043	5	0,23606797716322708	
0,027864045673545945	0,17376208152268896	0,08359214020860486	0,11803399017559713	0,9028453781520982	0,8981126962036325	6	0,14589803584914302	
0,08359214020860486	0,17376208152268896	0,11803399017559713	0,13932023474366378	0,8981126962036325	0,9036648192802604	7	0,0901699413140841	
0,08359214020860486	0,13932023474366378	0,10487838796463864	0,11803399017559713	0,8978146834170162	0,8981126962036325	8	0,05572809453505892	
0,08359214020860486	0,11803399017559713	0,09674774044928985	0,10487838796463864	0,8989071120400393	0,8978146834170162	9	0,03444184996699226	
0,09674774044928985	0,11803399017559713	0,10487838796463864	0,10990334068997484	0,8978146834170162	0,8976329856019156	10	0,02128624972630727	
0,10487838796463864	0,11803399017559713	0,10990334068997484	0,11300903866796311	0,8976329856019156	0,8977047139586792	11	0,01315560221095849	
0,10487838796463864	0,11300903866796311	0,1079840871603291	0,10990334068997484	0,8976586190669276	0,8976329856019156	12	0,008130650703324471	
0,1079840871603291	0,11300903866796311	0,10990334068997484	0,11108978635601957	0,8976329856019156	0,8976439457954197	13	0,005024951507634004	
0,1079840871603291	0,11108978635601957	0,10917053404407602	0,10990334068997484	0,8976364297331799	0,8976329856019156	14	0,0031056991956904673	
0,10917053404407602	0,11108978635601957	0,10990334068997484	0,11035698092782294	0,8976329856019156	0,897634766402089	15	0,0019192523119435506	
0,10917053404407602	0,11035698092782294	0,10962417549962632	0,10990334068997484	0,8976333759666127	0,8976329856019156	16	0,0011864468837469166	
0,10962417549962632	0,11035698092782294	0,10990334068997484	0,1100778169551766	0,8976329856019156	0,8976333168968438	17	0,0007328054281966201	
0,10962417549962632	0,1100778169551766	0,10979865298253028	0,10990334068997484	0,8976329991773291	0,8976329856019156	18	0,0004536414555502827	
0,10979865298253028	0,1100778169551766	0,10990334068997484	0,10997313046543422	0,8976329856019156	0,8976330650448509	19	0,00027916397264632353	
